annotation_id,comment,id,rating,Вопрос решен,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Нравится скорость отработки заявок,Понравилось выполнение заявки,Другое
101,спасибо,2945792,5,1.0,0.0,0.0,0.0,0.0,0
102,спасибо!,3234340,5,1.0,0.0,0.0,0.0,0.0,0
103,Отлично ,3380332,5,1.0,0.0,0.0,0.0,0.0,0
104,Благодарю за оперативное решение проблемы ! ,3381812,5,1.0,0.0,0.0,1.0,0.0,0
105,Прекрасный специалист! Побольше таких,3461991,5,0.0,0.0,1.0,0.0,0.0,0
106,Спасибо ,3551430,5,1.0,0.0,0.0,0.0,0.0,0
107,"пересчет, и скорость 
",3572768,1,0.0,0.0,0.0,1.0,0.0,0
108,Спасибо за обновление покраски стен,3584536,5,1.0,0.0,0.0,0.0,0.0,0
109,выполнили быстро,3596020,5,0.0,0.0,0.0,1.0,0.0,0
110,Спасибо! ,3617808,5,1.0,0.0,0.0,0.0,0.0,0
111,спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ,3627490,5,0.0,0.0,1.0,1.0,0.0,0
112,"спасибо 
",3657819,5,1.0,0.0,0.0,0.0,0.0,0
114,Решили мой вопрос. Спасибо! ,3695420,5,1.0,0.0,0.0,0.0,0.0,0
115,Очень радует работа УК. Оперативно! Спасибо!,3716702,5,1.0,0.0,0.0,1.0,0.0,0
116,Все исправили ,3726842,5,1.0,0.0,0.0,0.0,0.0,0
117,спасибо за оперативную работу ,3745025,5,0.0,0.0,0.0,1.0,0.0,0
118,"Выполнили отлично , обработка заявки была слишком дорогой ",3749719,5,0.0,0.0,0.0,0.0,1.0,0
119,спасибо большое! теперь не скрипят ,3751364,5,0.0,0.0,0.0,0.0,1.0,0
121,Спасибо!,3770102,5,1.0,0.0,0.0,0.0,0.0,0
122,Норм,3773834,1,0.0,0.0,0.0,0.0,0.0,1
123,спасибо. все прошло очень хорошо,3791959,5,1.0,0.0,0.0,0.0,0.0,0
124,"Спасибо, пришли все поменяли за 10 минут ",3797804,5,0.0,0.0,0.0,1.0,0.0,0
125,Все очень оперативно ,3799741,5,0.0,0.0,0.0,1.0,0.0,0
126,Огромное спасибо.,3802024,5,1.0,0.0,0.0,0.0,0.0,0
127,Все отлично! Спасибо.,3805876,5,1.0,0.0,0.0,0.0,0.0,0
128,Хороший мастер,3812092,5,0.0,0.0,0.0,1.0,0.0,0
129,"Спасибо за оперативность! 
",3815412,5,0.0,0.0,0.0,1.0,0.0,0
130,"выполнена

",3820641,5,1.0,0.0,0.0,0.0,0.0,0
131,"Все супер, Мастер 👍",3828569,5,0.0,0.0,1.0,0.0,0.0,0
132,Благодарю ребят.,3829748,5,0.0,0.0,1.0,0.0,0.0,0
133,Спасибо большое ,3831509,5,1.0,0.0,0.0,0.0,0.0,0
136,"Проблема решена, ручки на окна поставили.
Спасибо за обратную связь!",3834081,5,1.0,0.0,0.0,0.0,1.0,0
137,Благодарю за проделанную работу! ,3835748,5,1.0,0.0,0.0,0.0,1.0,0
138,"надеюсь и причину устранили, а то после первого дождя будет тоже самое..",3835874,5,1.0,0.0,0.0,0.0,0.0,0
139,"Спасибо, всё чётко.",3839647,5,1.0,0.0,0.0,0.0,1.0,0
140,Благодарю ,3840353,5,1.0,0.0,0.0,0.0,0.0,0
141,Спасибо Сергей ! )))),3841026,5,0.0,0.0,1.0,0.0,0.0,0
142,"Михаил отличный мастер своего дела. Сделал быстро, чисто, дал рекомендации)",3842440,5,0.0,0.0,1.0,0.0,0.0,0
143,хоть что то сделали 👍👏,3842790,5,1.0,0.0,0.0,0.0,0.0,0
144,спасибо),3843760,5,1.0,0.0,0.0,0.0,0.0,0
145,"профессионально, быстро. очень приятный мастер",3844645,5,0.0,0.0,1.0,0.0,0.0,0
146,спасибо! ,3846820,5,1.0,0.0,0.0,0.0,0.0,0
147,"Спасибо, вопрос решили, всё стало нормально ",3846831,5,1.0,0.0,0.0,0.0,1.0,0
148,Татьяна Владимировна большое вам спасибо!!!! ,3848236,5,0.0,0.0,1.0,0.0,0.0,0
150,"спасибо за  быстрый ответ! 


",3850118,1,0.0,0.0,0.0,1.0,0.0,0
151,Огромное спасибо вам от всего подъезда!!!   ))))),3852179,5,1.0,0.0,1.0,0.0,1.0,0
152,спасибо!),3852743,5,1.0,0.0,0.0,0.0,0.0,0
153,спасибо ,3852975,5,1.0,0.0,0.0,0.0,0.0,0
154,Все отлично ,3854073,5,1.0,0.0,0.0,0.0,1.0,0
155,свершилось,3856028,1,1.0,0.0,0.0,0.0,0.0,0
156,Спасибо мастеру ,3859764,5,0.0,0.0,1.0,0.0,0.0,0
157,"спасибо, Вам, среагировали оперативно/быстро, а так же всё время были на связи🤝",3859780,5,0.0,0.0,0.0,1.0,0.0,0
158,"Среагировали быстро, благодарю ",3860248,5,0.0,0.0,0.0,1.0,0.0,0
159,Спасибо за оперативность!,3860900,5,0.0,0.0,0.0,1.0,0.0,0
160,Отличный мастер!,3862448,5,0.0,0.0,1.0,0.0,0.0,0
161,"Спасибо! По крайней мере, по ночам пока шума не слышно.",3863351,5,1.0,0.0,0.0,0.0,0.0,0
162,Быстро ,3863609,5,0.0,0.0,0.0,1.0,0.0,0
163,Спасибо за своевременное выполнение заявки...,3866829,5,0.0,0.0,0.0,0.0,1.0,0
164,все сделали быстро. спасибо ,3866867,5,0.0,0.0,0.0,1.0,0.0,0
165,всё отлично 👍,3868883,5,1.0,0.0,0.0,0.0,0.0,0
167,"Большое спасибо Александру,за оперативность и профессионализм ",3872124,5,0.0,0.0,1.0,0.0,0.0,0
168,благодарю ,3872129,5,1.0,0.0,0.0,0.0,0.0,0
169,оперативно и качественно. спасибо ,3873692,5,0.0,1.0,0.0,1.0,0.0,0
171,"благодарю, всего доброго!",3875262,5,1.0,0.0,0.0,0.0,0.0,0
174,Спасибо большое! ,3877186,5,1.0,0.0,0.0,0.0,0.0,0
176,К мастеру вопросов нет.  ,3877334,3,0.0,0.0,1.0,0.0,0.0,0
177,"Мастер быстро решил проблему!Всё исправил,очень довольна!Спасибо!",3877901,5,0.0,0.0,1.0,0.0,0.0,0
178,"вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции ",3878088,5,0.0,0.0,1.0,0.0,0.0,0
179,спасибо большое! надолго ли🙄,3878555,5,1.0,0.0,0.0,0.0,0.0,0
180,Огромное спасибо! ,3878808,5,1.0,0.0,0.0,0.0,0.0,0
181,Всё очень четко организовано! Большое спасибо за работу!,3879856,5,1.0,0.0,0.0,0.0,1.0,0
182,Спасибо Вам большое и за дверь и за номера квартир!,3880345,5,1.0,0.0,0.0,0.0,0.0,0
183,снимаю звезду за первую отписку без выполнения работ,3880717,3,0.0,0.0,0.0,0.0,0.0,1
184,"В день создания заявки , рабочие оперативно пришли и весь ужас убрали , огромная благодарность ! ",3881004,5,0.0,0.0,1.0,1.0,0.0,0
185,Спасибо! Все заработало ,3881460,5,1.0,0.0,0.0,0.0,1.0,0
186,"спасибо, решили мой вопрос на месте в офисе ",3881636,5,1.0,0.0,0.0,0.0,0.0,0
187,"Спасибо больше Ольге Птушкине, за проделанную работу! ",3882840,5,0.0,0.0,1.0,0.0,0.0,0
189,"всё сделали хорошо, починили вовремя. наверное, молодцы.",3883200,5,1.0,0.0,0.0,0.0,0.0,0
190,Спасибо,3883457,5,1.0,0.0,0.0,0.0,0.0,0
191,Супер! Спасибо!,3883549,5,1.0,0.0,0.0,0.0,1.0,0
