"annotation_id","annotator","comment","created_at","id","lead_time","rating","taxonomy","updated_at","Вопрос решен","Нравится качество выполнения заявки","Нравится качество работы сотрудников","Нравится скорость отработки заявок","Понравилось выполнение заявки"
101,"1","спасибо","2025-05-15T07:14:56.681475Z",2945792,12.858,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-15T07:14:56.681494Z","","","","",""
102,"1","спасибо!","2025-05-15T07:15:03.720864Z",3234340,5.596,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-15T07:15:03.720883Z","","","","",""
103,"1","Отлично ","2025-05-15T07:15:11.796124Z",3380332,3.569,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-15T07:15:11.796143Z","","","","",""
104,"1","Благодарю за оперативное решение проблемы ! ","2025-05-15T07:15:21.439205Z",3381812,8.014,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Вопрос решен""]]}]","2025-05-15T07:15:21.439228Z","","","","",""
105,"1","Прекрасный специалист! Побольше таких","2025-05-15T07:15:28.081418Z",3461991,4.678,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""]]}]","2025-05-15T07:15:28.081439Z","","","","",""
106,"1","Спасибо ","2025-05-15T07:15:34.114397Z",3551430,4.708,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-15T07:15:34.114418Z","","","","",""
107,"1","пересчет, и скорость 
","2025-05-15T07:15:41.272092Z",3572768,5.934,1,"[{""taxonomy"":[[""Нравится скорость отработки заявок""]]}]","2025-05-15T07:15:41.272112Z","","","","",""
108,"1","Спасибо за обновление покраски стен","2025-05-15T07:15:55.006420Z",3584536,12.258,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-15T07:15:55.006439Z","","","","",""
109,"1","выполнили быстро","2025-05-15T07:16:04.442517Z",3596020,8.099,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""]]}]","2025-05-15T07:16:04.442541Z","","","","",""
110,"1","Спасибо! ","2025-05-15T07:16:13.114142Z",3617808,6.925,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-15T07:16:13.114165Z","","","","",""
111,"1","спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ","2025-05-15T07:16:30.361938Z",3627490,14.793,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Нравится качество работы сотрудников""]]}]","2025-05-15T07:16:30.361958Z","","","","",""
112,"1","спасибо 
","2025-05-15T07:16:44.211469Z",3657819,9.499,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-15T07:16:44.211489Z","","","","",""
113,"1","Спасибо ","2025-05-15T07:17:44.025859Z",3691620,3.649,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-15T07:17:44.025885Z","","","","",""
114,"1","Решили мой вопрос. Спасибо! ","2025-05-15T07:17:48.923201Z",3695420,4.032,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-15T07:17:48.923227Z","","","","",""
115,"1","Очень радует работа УК. Оперативно! Спасибо!","2025-05-15T07:18:00.614901Z",3716702,10.45,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Вопрос решен""]]}]","2025-05-15T07:18:00.614920Z","","","","",""
116,"1","Все исправили ","2025-05-15T07:18:05.784198Z",3726842,3.799,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-15T07:18:05.784219Z","","","","",""
117,"1","спасибо за оперативную работу ","2025-05-15T07:18:10.138863Z",3745025,3.43,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""]]}]","2025-05-15T07:18:10.138885Z","","","","",""
118,"1","Выполнили отлично , обработка заявки была слишком дорогой ","2025-05-15T07:18:27.147295Z",3749719,15.664,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-15T07:18:27.147315Z","","","","",""
119,"1","спасибо большое! теперь не скрипят ","2025-05-15T07:18:34.080166Z",3751364,5.542,5,"[{""taxonomy"":[[""Понравилось выполнение заявки""]]}]","2025-05-15T07:18:34.080194Z","","","","",""
120,"1","спасибо","2025-05-15T07:18:40.874401Z",3766183,3.262,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-15T07:18:40.874424Z","","","","",""
121,"1","Спасибо!","2025-05-15T07:18:44.445682Z",3770102,2.65,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-15T07:18:44.445710Z","","","","",""
122,"1","Норм","2025-05-15T07:18:51.764559Z",3773834,6.352,1,"[{""taxonomy"":[[""Другое""]]}]","2025-05-15T07:18:51.764587Z","","","","",""
123,"1","спасибо. все прошло очень хорошо","2025-05-15T07:18:59.303907Z",3791959,6.31,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-15T07:18:59.303929Z","","","","",""
124,"1","Спасибо, пришли все поменяли за 10 минут ","2025-05-15T07:19:04.909384Z",3797804,4.175,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""]]}]","2025-05-15T07:19:04.909403Z","","","","",""
125,"1","Все очень оперативно ","2025-05-15T07:19:37.632600Z",3799741,31.477,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""]]}]","2025-05-15T07:19:37.632619Z","","","","",""
126,"1","Огромное спасибо.","2025-05-15T07:19:41.924927Z",3802024,2.937,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-15T07:19:41.924946Z","","","","",""
